,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
Pclass,-0.05689458157771206,0.5686905115114352,0.008273440539435736,0.22758783876792332,-0.007409339469145156,0.0175516927216791,0.0924260471419237,0.1173946722230293
Sex,-0.21847232820272341,0.14412217920676662,-0.3963988923294784,-0.3518350785070918,0.6660590176742485,-0.24784150041076303,0.28097647137023296,-0.21069621496012722
Age,-0.1451981289049858,-0.323080362823445,-0.38901951558129977,0.29044979897146067,0.24217602779571787,0.743230320239352,-0.06552865971005588,0.02606102873871312
SibSp,0.433836605507127,0.16440439070704393,-0.06582003180842963,-0.13433096687438192,0.35078599821397105,0.033090942660714454,-0.5213412890944048,0.20423569949071035
Parch,0.4381104342449302,0.06651163127209357,-0.11159400598506235,0.1126217690870488,-0.14362020934044695,0.162037436826206,0.6657975663635304,-0.28197791378023546
Fare,0.20141281704472785,-0.42529645417755046,0.15949920122273656,-0.1817488090413131,0.16266300808634265,-0.08642410868989008,0.3783873660886709,0.6917876242276437
Embarked,-0.019452212944561745,-0.06528321032842072,0.6159252349165034,0.5163897263368539,0.5477561011345842,-0.058566812333957365,0.0683430317138857,-0.1796445176574634
Has_Cabin,0.08686930058764505,-0.5271332173595059,0.05083315456446458,-0.19972288431305135,-0.023773680204335346,-0.1686435816598808,-0.14462916054005123,-0.49231973395388895
Family_Size,0.5206733385300787,0.14482433681246465,-0.10279579849200557,-0.030266818636257197,0.15840482869974212,0.10755459972739488,0.003165734340402116,-0.012396365939849868
Is_Alone,-0.467722612521657,0.022344195944652034,-0.027673528483099695,-0.017048699316095595,0.016434132286877484,0.00380502631304638,0.14064012940894727,0.22696319108199028
Age_Group,0.097151656311047,-0.1884267125464108,-0.5059220156432289,0.6070744170934479,-0.039500864431481084,-0.5546185649269552,-0.06765702668957416,0.1226201603159804
